8af6 諶
8b46 譆
8b54 譔
8b59 譙
8b69 譩
8b9d 讝
8c49 豉
8c68 豨
8ce1 賡
8cf4 賴
8cf8 賸
8cfe 賾
8d12 贒
8d1b 贛
8daf 趯
8dce 跎
8dd1 跑
8dd7 跗
8e20 踠
8e23 踣
8e3d 踽
8e70 蹰
8e7b 蹻
8ec0 軀
8efa 軺
8f1e 輞
8f2d 輭
8f36 輶
8f54 轔
8fa6 辦
8fb5 辵
8fe4 迤
8fe8 迨
8fee 迮
9008 逈
902d 逭
9088 邈
9095 邕
9097 邗
9099 邙
909b 邛
90a2 邢
90b3 邳
90be 邾
90c4 郄
90c5 郅
90c7 郇
90d7 郗
90dd 郝
90de 郞
90ef 郯
90f4 郴
9114 鄔
9115 鄕
9116 鄖
9122 鄢
9123 鄣
9127 鄧
912f 鄯
9131 鄱
9134 鄴
913d 鄽
9148 酈
915b 酛
9183 醃
919e 醞
91ac 醬
91b1 醱
91bc 醼
91d7 釗
91e4 釤
91e5 釥
91ed 釭
91f1 釱
91fb 釻
9207 鈇
9210 鈐
9238 鈸
9239 鈹
923a 鈺
923c 鈼
9240 鉀
9243 鉃
924f 鉏
9278 鉸
9288 銈
92c2 鋂
92cb 鋋
92cc 鋌
92d3 鋓
92e0 鋠
92ff 鋿
9304 錄
931f 錟
9321 錡
9325 錥
9348 鍈
9349 鍉
934a 鍊
9364 鍤
9365 鍥
936a 鍪
9370 鍰
939b 鎛
93a3 鎣
93ba 鎺
93c6 鏆
93de 鏞
93df 鏟
93fd 鏽
9404 鐄
9433 鐳
944a 鑊
9463 鑣
946b 鑫
9471 鑱
9472 鑲
958e 閎
959f 閟
95a6 閦
95a9 閩
95ac 閬
95b6 閶
95bd 閽
95cb 闋
95d0 闐
95d3 闓
95da 闚
95de 闞
9658 陘
9684 隄
969d 隝
96a4 隤
96a5 隥
96d2 雒
96de 雞
96e9 雩
96ef 雯
9733 霳
973b 霻
974d 靍
974e 靎
974f 靏
975a 靚
976e 靮
9773 靳
9795 鞕
97ae 鞮
97ba 鞺
97c1 韁
97c9 韉
97db 韛
97de 韞
97f4 韴
980a 頊
981e 頞
982b 頫
9830 頰
9852 顒
9853 顓
9856 顖
9857 顗
9859 顙
985a 顚
9865 顥
