6708 月
6709 有
670d 服
6715 朕
6717 朗
671b 望
671d 朝
671f 期
6728 木
672a 未
672b 末
672c 本
672d 札
6731 朱
6734 朴
673a 机
673d 朽
6749 杉
6750 材
6751 村
675f 束
6761 条
6765 来
676f 杯
6771 東
677e 松
677f 板
6790 析
6795 枕
6797 林
679a 枚
679c 果
679d 枝
67a0 枠
67a2 枢
67af 枯
67b6 架
67c4 柄
67d0 某
67d3 染
67d4 柔
67f1 柱
67f3 柳
67f5 柵
67fb 査
67ff 柿
6803 栃
6804 栄
6813 栓
6821 校
682a 株
6838 核
6839 根
683c 格
683d 栽
6841 桁
6843 桃
6848 案
6851 桑
685c 桜
685f 桟
6885 梅
6897 梗
68a8 梨
68b0 械
68c4 棄
68cb 棋
68d2 棒
68da 棚
68df 棟
68ee 森
68fa 棺
6905 椅
690d 植
690e 椎
691c 検
696d 業
6975 極
6977 楷
697c 楼
697d 楽
6982 概
69cb 構
69d8 様
69fd 槽
6a19 標
6a21 模
6a29 権
6a2a 横
6a39 樹
6a4b 橋
6a5f 機
6b04 欄
6b20 欠
6b21 次
6b27 欧
6b32 欲
6b3a 欺
6b3e 款
6b4c 歌
6b53 歓
6b62 止
6b63 正
6b66 武
6b69 歩
6b6f 歯
6b73 歳
6b74 歴
6b7b 死
6b89 殉
6b8a 殊
6b8b 残
6b96 殖
6bb4 殴
6bb5 段
6bba 殺
6bbb 殻
6bbf 殿
6bc0 毀
6bcd 母
6bce 毎
6bd2 毒
6bd4 比
6bdb 毛
6c0f 氏
6c11 民
6c17 気
6c34 水
6c37 氷
6c38 永
6c3e 氾
6c41 汁
6c42 求
6c4e 汎
6c57 汗
6c5a 汚
6c5f 江
6c60 池
6c70 汰
6c7a 決
6c7d 汽
6c83 沃
6c88 沈
6c96 沖
6c99 沙
6ca1 没
6ca2 沢
6cb3 河
6cb8 沸
6cb9 油
6cbb 治
6cbc 沼
6cbf 沿
6cc1 況
6cc9 泉
6cca 泊
6ccc 泌
6cd5 法
6ce1 泡
6ce2 波
6ce3 泣
6ce5 泥
6ce8 注
6cf0 泰
6cf3 泳
6d0b 洋
6d17 洗
6d1e 洞
6d25 津
6d2a 洪
6d3b 活
6d3e 派
6d41 流
6d44 浄
6d45 浅
6d5c 浜
6d66 浦
6d6a 浪
6d6e 浮
6d74 浴
6d77 海
6d78 浸
6d88 消
6d99 涙
6daf 涯
6db2 液
6dbc 涼
6dd1 淑
6de1 淡
6deb 淫
6df1 深
6df7 混
6dfb 添
6e05 清
6e07 渇
6e08 済
6e09 渉
6e0b 渋
6e13 渓
6e1b 減
6e21 渡
6e26 渦
6e29 温
6e2c 測
6e2f 港
6e56 湖
6e67 湧
6e6f 湯
6e7e 湾
6e7f 湿
6e80 満
6e90 源
6e96 準
6e9d 溝
6eb6 溶
6eba 溺
6ec5 滅
6ecb 滋
6ed1 滑
6edd 滝
6ede 滞
6ef4 滴
6f01 漁
6f02 漂
6f06 漆
6f0f 漏
6f14 演
6f20 漠
6f22 漢
6f2b 漫
6f2c 漬
6f38 漸
6f54 潔
6f5c 潜
6f5f 潟
6f64 潤
6f6e 潮
6f70 潰
6f84 澄
6fc0 激
6fc1 濁
6fc3 濃
6feb 濫
6fef 濯
702c 瀬
706b 火
706f 灯
7070 灰
707d 災
7089 炉
708a 炊
708e 炎
70ad 炭
70b9 点
70ba 為
70c8 烈
7121 無
7126 焦
7136 然
713c 焼
714e 煎
7159 煙
7167 照
7169 煩
716e 煮
718a 熊
719f 熟
71b1 熱
71c3 燃
71e5 燥
7206 爆
722a 爪
7235 爵
7236 父
723d 爽
7247 片
7248 版
7259 牙
725b 牛
7267 牧
7269 物
7272 牲
7279 特
72a0 犠
72ac 犬
72af 犯
72b6 状
72c2 狂
72d9 狙
72e9 狩
72ec 独
72ed 狭
731b 猛
731f 猟
732b 猫
732e 献
7336 猶
733f 猿
7344 獄
7363 獣
7372 獲
7384 玄
7387 率
7389 玉
738b 王
73a9 玩
73cd 珍
73e0 珠
73ed 班
73fe 現
7403 球
7406 理
7434 琴
7460 瑠
7483 璃
74a7 璧
74b0 環
74bd 璽
74e6 瓦
74f6 瓶
7518 甘
751a 甚
751f 生
7523 産
7528 用
7530 田
7531 由
7532 甲
7533 申
7537 男
753a 町
753b 画
754c 界
754f 畏
7551 畑
7554 畔
7559 留
755c 畜
755d 畝
7565 略
756a 番
7570 異
7573 畳
757f 畿
758e 疎
7591 疑
75ab 疫
75b2 疲
75be 疾
75c5 病
75c7 症
75d5 痕
75d8 痘
75db 痛
75e2 痢
75e9 痩
75f4 痴
760d 瘍
7642 療
7652 癒
7656 癖
767a 発
767b 登
767d 白
767e 百
7684 的
7686 皆
7687 皇
76ae 皮
76bf 皿
76c6 盆
76ca 益
76d7 盗
76db 盛
76df 盟
76e3 監
76e4 盤
76ee 目
76f2 盲
76f4 直
76f8 相
76fe 盾
7701 省
7709 眉
770b 看
770c 県
771f 真
7720 眠
773a 眺
773c 眼
7740 着
7761 睡
7763 督
7766 睦
77ac 瞬
77ad 瞭
77b3 瞳
77db 矛
77e2 矢
77e5 知
77ed 短
77ef 矯
77f3 石
7802 砂
7814 研
7815 砕
7832 砲
7834 破
785d 硝
786b 硫
786c 硬
7881 碁
7891 碑
78ba 確
78c1 磁
78e8 磨
7901 礁
790e 礎
793a 示
793c 礼
793e 社
7948 祈
7949 祉
7956 祖
795d 祝
795e 神
7965 祥
7968 票
796d 祭
7981 禁
7985 禅
798d 禍
798f 福
79c0 秀
79c1 私
79cb 秋
79d1 科
79d2 秒
79d8 秘
79df 租
79e9 秩
79f0 称
79fb 移
7a0b 程
7a0e 税
7a1a 稚
7a2e 種
7a32 稲
7a3c 稼
7a3d 稽
7a3f 稿
7a40 穀
7a42 穂
7a4d 積
7a4f 穏
7a6b 穫
7a74 穴
7a76 究
7a7a 空
7a81 突
7a83 窃
7a92 窒
7a93 窓
7a9f 窟
7aae 窮
7aaf 窯
7acb 立
7adc 竜
7ae0 章
7ae5 童
7aef 端
7af6 競
7af9 竹
7b11 笑
7b1b 笛
7b26 符
7b2c 第
7b46 筆
7b49 等
7b4b 筋
7b52 筒
7b54 答
7b56 策
7b87 箇
7b8b 箋
7b97 算
7ba1 管
7bb1 箱
7bb8 箸
7bc0 節
7bc4 範
7bc9 築
7be4 篤
7c21 簡
7c3f 簿
7c4d 籍
7c60 籠
7c73 米
7c89 粉
7c8b 粋
7c92 粒
7c97 粗
7c98 粘
7c9b 粛
7ca7 粧
7cbe 精
7cd6 糖
7ce7 糧
7cf8 糸
7cfb 系
7cfe 糾
7d00 紀
7d04 約
7d05 紅
7d0b 紋
7d0d 納
7d14 純
7d19 紙
7d1a 級
7d1b 紛
7d20 素
7d21 紡
7d22 索
7d2b 紫
7d2f 累
7d30 細
7d33 紳
7d39 紹
7d3a 紺
7d42 終
7d44 組
7d4c 経
7d50 結
7d5e 絞
7d61 絡
7d66 給
7d71 統
7d75 絵
7d76 絶
7d79 絹
7d99 継
7d9a 続
7dad 維
7db1 綱
7db2 網
7dbb 綻
7dbf 綿
7dca 緊
7dcf 総
7dd1 緑
7dd2 緒
7dda 線
7de0 締
7de8 編
7de9 緩
7def 緯
7df4 練
7dfb 緻
7e01 縁
7e04 縄
7e1b 縛
7e26 縦
7e2b 縫
7e2e 縮
7e3e 績
7e41 繁
7e4a 繊
7e54 織
7e55 繕
7e6d 繭
7e70 繰
7f36 缶
7f6a 罪
7f6e 置
7f70 罰
7f72 署
7f75 罵
7f77 罷
7f85 羅
7f8a 羊
7f8e 美
7f9e 羞
7fa4 群
7fa8 羨
7fa9 義
7fbd 羽
7fc1 翁
7fcc 翌
7fd2 習
7ffb 翻
7ffc 翼
8001 老
8003 考
8005 者
8010 耐
8015 耕
8017 耗
8033 耳
8056 聖
805e 聞
8074 聴
8077 職
8089 肉
808c 肌
8096 肖
8098 肘
809d 肝
80a1 股
80a2 肢
80a5 肥
80a9 肩
80aa 肪
80af 肯
80b2 育
80ba 肺
80c3 胃
80c6 胆
80cc 背
80ce 胎
80de 胞
80f4 胴
80f8 胸
80fd 能
8102 脂
8105 脅
8107 脇
8108 脈
