6ce1 泡
6ce2 波
6ce3 泣
6ce5 泥
6ce8 注
6cf0 泰
6cf3 泳
6d0b 洋
6d17 洗
6d1b 洛
6d1e 洞
6d25 津
6d29 洩
6d2a 洪
6d32 洲
6d3b 活
6d3e 派
6d41 流
6d44 浄
6d45 浅
6d5c 浜
6d66 浦
6d69 浩
6d6a 浪
6d6c 浬
6d6e 浮
6d74 浴
6d77 海
6d78 浸
6d88 消
6d8c 涌
6d99 涙
6d9b 涛
6d9c 涜
6daf 涯
6db2 液
6dbc 涼
6dc0 淀
6dcb 淋
6dd1 淑
6dd8 淘
6de1 淡
6deb 淫
6df1 深
6df3 淳
6df5 淵
6df7 混
6dfb 添
6e05 清
6e07 渇
6e08 済
6e09 渉
6e0b 渋
6e13 渓
6e1a 渚
6e1b 減
6e20 渠
6e21 渡
6e25 渥
6e26 渦
6e29 温
6e2c 測
6e2f 港
6e4a 湊
6e56 湖
6e58 湘
6e5b 湛
6e67 湧
6e6f 湯
6e7e 湾
6e7f 湿
6e80 満
6e8c 溌
6e90 源
6e96 準
6e9c 溜
6e9d 溝
6ea2 溢
6eb6 溶
6eba 溺
6ec5 滅
6ecb 滋
6ed1 滑
6edd 滝
6ede 滞
6ef4 滴
6f01 漁
6f02 漂
6f06 漆
6f09 漉
6f0f 漏
6f14 演
6f15 漕
6f20 漠
6f22 漢
6f23 漣
6f2b 漫
6f2c 漬
6f38 漸
6f45 潅
6f54 潔
6f5c 潜
6f5f 潟
6f64 潤
6f6e 潮
6f70 潰
6f84 澄
6f97 澗
6fb1 澱
6fc0 激
6fc1 濁
6fc3 濃
6fe0 濠
6fe1 濡
6feb 濫
6fef 濯
7015 瀕
701e 瀞
7026 瀦
7027 瀧
702c 瀬
7058 灘
706b 火
706f 灯
7070 灰
7078 灸
707c 灼
707d 災
7089 炉
708a 炊
708e 炎
70ad 炭
70b9 点
70ba 為
70c8 烈
70cf 烏
70f9 烹
7114 焔
711a 焚
7121 無
7126 焦
7136 然
713c 焼
7149 煉
714e 煎
7159 煙
7164 煤
7167 照
7169 煩
716e 煮
717d 煽
718a 熊
7194 熔
719f 熟
71b1 熱
71c3 燃
71c8 燈
71d0 燐
71d5 燕
71e5 燥
71e6 燦
71ed 燭
7206 爆
722a 爪
7235 爵
7236 父
723a 爺
723d 爽
723e 爾
7247 片
7248 版
724c 牌
7252 牒
7259 牙
725b 牛
725d 牝
725f 牟
7261 牡
7262 牢
7267 牧
7269 物
7272 牲
7279 特
727d 牽
7280 犀
72a0 犠
72ac 犬
72af 犯
72b6 状
72c2 狂
72d0 狐
72d7 狗
72d9 狙
72db 狛
72e9 狩
72ec 独
72ed 狭
72f8 狸
72fc 狼
72fd 狽
731b 猛
731f 猟
732a 猪
732b 猫
732e 献
7336 猶
7337 猷
733f 猿
7344 獄
7345 獅
7363 獣
7372 獲
7384 玄
7387 率
7389 玉
738b 王
7396 玖
73a9 玩
73b2 玲
73c2 珂
73ca 珊
73cd 珍
73e0 珠
73ea 珪
73ed 班
73fe 現
7403 球
7406 理
7409 琉
7422 琢
7433 琳
7434 琴
7435 琵
7436 琶
745a 瑚
745b 瑛
745e 瑞
7460 瑠
7473 瑳
7483 璃
74b0 環
74bd 璽
74dc 瓜
74e2 瓢
74e6 瓦
74f6 瓶
7511 甑
7518 甘
751a 甚
751c 甜
751f 生
