652f 支
6536 收
6539 改
653b 攻
653e 放
653f 政
6545 故
6548 效
654d 敍
654e 敎
654f 敏
6551 救
6557 敗
6562 敢
6563 散
6566 敦
656c 敬
6574 整
6575 敵
6578 數
6587 文
6597 斗
6599 料
659c 斜
65a4 斤
65a5 斥
65af 斯
65b0 新
65b7 斷
65b9 方
65bc 於
65bd 施
65c5 旅
65cb 旋
65cf 族
65d7 旗
65e3 旣
65e5 日
65e6 旦
65e9 早
65ec 旬
65f1 旱
6607 昇
660c 昌
660e 明
660f 昏
6613 易
6614 昔
661f 星
6620 映
6625 春
6628 昨
662d 昭
662f 是
6642 時
665a 晚
665d 晝
6668 晨
666e 普
666f 景
6674 晴
667a 智
6687 暇
6691 暑
6696 暖
6697 暗
66a2 暢
66ab 暫
66ae 暮
66b4 暴
66c6 曆
66c9 曉
66f0 曰
66f2 曲
66f4 更
66f8 書
66fe 曾
66ff 替
6700 最
6703 會
6708 月
6709 有
670b 朋
670d 服
6714 朔
671b 望
671d 朝
671f 期
6728 木
672a 未
672b 末
672c 本
6731 朱
6734 朴
674e 李
6750 材
6751 村
675f 束
676f 杯
6771 東
677e 松
677f 板
6790 析
6795 枕
6797 林
679c 果
679d 枝
67af 枯
67b6 架
67d0 某
67d3 染
67d4 柔
67f1 柱
67f3 柳
67fb 査
6817 栗
6821 校
682a 株
6838 核
6839 根
683c 格
683d 栽
6842 桂
6843 桃
6848 案
6851 桑
6881 梁
6885 梅
689d 條
68a8 梨
68b0 械
68c4 棄
690d 植
694a 楊
696d 業
6975 極
69ae 榮
69cb 構
69ea 槪
6a02 樂
6a13 樓
6a19 標
6a21 模
6a23 樣
6a39 樹
6a4b 橋
6a5f 機
6a6b 橫
6a80 檀
6aa2 檢
6b04 欄
6b0a 權
6b21 次
6b32 欲
6b3a 欺
6b4c 歌
6b4e 歎
6b61 歡
6b62 止
6b63 正
6b64 此
6b65 步
6b66 武
6b72 歲
6b77 歷
6b78 歸
6b7b 死
6b83 殃
6b86 殆
6b89 殉
6b8a 殊
6b98 殘
6bb5 段
6bba 殺
6bbf 殿
6bc1 毁
6bcd 母
6bcf 每
6bd2 毒
6bd4 比
6bdb 毛
6beb 毫
6c0f 氏
6c11 民
6c23 氣
6c34 水
6c37 氷
6c38 永
6c42 求
6c57 汗
6c5a 汚
6c5d 汝
6c5f 江
6c60 池
6c7a 決
6c88 沈
6c92 沒
6c99 沙
6cb3 河
6cb9 油
6cbb 治
6cbf 沿
6cc1 況
6cc9 泉
6cca 泊
6cd5 法
6ce2 波
6ce3 泣
6ce5 泥
6ce8 注
6cf0 泰
6cf3 泳
6d0b 洋
6d17 洗
6d1e 洞
6d2a 洪
6d32 洲
6d3b 活
6d3e 派
6d41 流
6d66 浦
6d69 浩
6d6a 浪
6d6e 浮
6d74 浴
6d77 海
6d78 浸
6d88 消
6d89 涉
6daf 涯
6dbc 涼
6dd1 淑
6dda 淚
6de1 淡
6de8 淨
6deb 淫
6df1 深
6df7 混
6df8 淸
6dfa 淺
6dfb 添
6e1b 減
6e21 渡
6e2c 測
6e2f 港
6e34 渴
6e56 湖
6e6f 湯
6e90 源
6e96 準
6eaa 溪
6eab 溫
6ec5 滅
6eef 滯
6ef4 滴
6eff 滿
6f01 漁
6f02 漂
6f06 漆
6f0f 漏
6f14 演
6f20 漠
6f22 漢
6f2b 漫
6f38 漸
6f54 潔
6f5b 潛
6f64 潤
6f6e 潮
6fa4 澤
6fc0 激
6fc1 濁
6fd5 濕
6fdf 濟
6feb 濫
6fef 濯
706b 火
707d 災
708e 炎
70ad 炭
70c8 烈
70cf 烏
7109 焉
7121 無
7136 然
7159 煙
7167 照
7169 煩
719f 熟
71b1 熱
71c3 燃
71c8 燈
71d2 燒
71d5 燕
71df 營
71e5 燥
71ed 燭
7206 爆
7210 爐
722d 爭
7232 爲
7235 爵
7236 父
7247 片
7248 版
7259 牙
725b 牛
7267 牧
7269 物
7279 特
727d 牽
72ac 犬
72af 犯
72c0 狀
72c2 狂
72d7 狗
731b 猛
7336 猶
7344 獄
7368 獨
7372 獲
7375 獵
7378 獸
737b 獻
7384 玄
7387 率
7389 玉
738b 王
73cd 珍
73e0 珠
73ed 班
73fe 現
7403 球
7406 理
7434 琴
74b0 環
74e6 瓦
7518 甘
751a 甚
751f 生
7523 産
7528 用
7530 田
7531 由
7532 甲
7533 申
7537 男
754c 界
754f 畏
7553 畓
7559 留
755c 畜
7562 畢
7565 略
756a 番
756b 畫
7570 異
7576 當
757f 畿
758f 疏
7591 疑
75ab 疫
75b2 疲
75be 疾
75c5 病
75c7 症
75db 痛
7678 癸
767b 登
767c 發
767d 白
767e 百
7684 的
7686 皆
7687 皇
76ae 皮
76ca 益
76db 盛
76dc 盜
76df 盟
76e1 盡
76e3 監
76e4 盤
76ee 目
76f2 盲
76f4 直
76f8 相
7701 省
7709 眉
770b 看
771e 眞
7720 眠
773c 眼
7740 着
7761 睡
7763 督
7766 睦
77ac 瞬
77e2 矢
77e3 矣
77e5 知
77ed 短
77ef 矯
77f3 石
7834 破
784f 硏
786c 硬
7891 碑
78a7 碧
78ba 確
78e8 磨
790e 礎
793a 示
793e 社
7940 祀
7948 祈
7955 祕
7956 祖
795d 祝
795e 神
7965 祥
7968 票
796d 祭
797f 祿
7981 禁
798d 禍
798f 福
79aa 禪
79ae 禮
79bd 禽
79be 禾
79c0 秀
79c1 私
79cb 秋
79d1 科
79d2 秒
79df 租
79e9 秩
79fb 移
7a00 稀
7a05 稅
7a0b 程
7a2e 種
7a31 稱
7a3b 稻
7a3f 稿
7a40 穀
